device,color,state,imageCount,files
"OPPO Enco Air5","暮云紫","earbuds_with_case",1,"OPPO Enco Air5__暮云紫__earbuds_with_case_001.png"
"OPPO Enco Air5","暮云紫","open_case",1,"OPPO Enco Air5__暮云紫__open_case_001.png"
"OPPO Enco Air5","玄岩黑","earbuds_pair",1,"OPPO Enco Air5__玄岩黑__earbuds_pair_001.png"
"OPPO Enco Air5","玄岩黑","earbuds_with_case",1,"OPPO Enco Air5__玄岩黑__earbuds_with_case_001.png"
"OPPO Enco Air5","玄岩黑","open_case",2,"OPPO Enco Air5__玄岩黑__open_case_001.png|OPPO Enco Air5__玄岩黑__open_case_002.png"
"OPPO Enco Air5s","星光版 星光紫","closed_case",1,"OPPO Enco Air5s__星光版 星光紫__closed_case_001.png"
"OPPO Enco Air5s","星光版 星光紫","earbuds_with_case",1,"OPPO Enco Air5s__星光版 星光紫__earbuds_with_case_001.png"
"OPPO Enco Air5s","星光版 星光紫","open_case",1,"OPPO Enco Air5s__星光版 星光紫__open_case_001.png"
"OPPO Enco Air5s","暗夜黑","closed_case",1,"OPPO Enco Air5s__暗夜黑__closed_case_001.png"
"OPPO Enco Air5s","暗夜黑","earbuds_with_case",1,"OPPO Enco Air5s__暗夜黑__earbuds_with_case_001.png"
"OPPO Enco Air5s","暗夜黑","open_case",1,"OPPO Enco Air5s__暗夜黑__open_case_001.png"
"OPPO Enco Air5s","月光白","closed_case",1,"OPPO Enco Air5s__月光白__closed_case_001.png"
"OPPO Enco Air5s","月光白","earbuds_with_case",1,"OPPO Enco Air5s__月光白__earbuds_with_case_001.png"
"OPPO Enco Air5s","月光白","open_case",1,"OPPO Enco Air5s__月光白__open_case_001.png"
